station_id,stationcategory,huc8id,huc10id,huc12id,upstream_area_sqkm,upstream_cafo_count,upstream_swine_cafo_count,upstream_poultry_cafo_count,upstream_other_cafo_count,upstream_cafo_density,upstream_swine_cafo_density,upstream_poultry_cafo_density,upstream_other_cafo_density,upstream_wastewater_count,upstream_landfill_count,upstream_other_npdes_count,upstream_wastewater_density,upstream_other_npdes_density,upstream_landfill_density,weighted_cafo_load,weighted_swine_cafo_load,weighted_poultry_cafo_load,weighted_other_cafo_load,weighted_wastewater_load,weighted_other_npdes_load,weighted_landfill_load,nearest_upstream_cafo_distance_m,nearest_upstream_swine_cafo_dist,nearest_upstream_poultry_cafo_di,nearest_upstream_other_cafo_dist,nearest_upstream_wastewater_dist,nearest_upstream_other_npdes_dis,nearest_upstream_landfill_distan,huc8_upstream_area_sqkm,huc8_upstream_cafo_count,huc8_upstream_swine_cafo_count,huc8_upstream_poultry_cafo_count,huc8_upstream_other_cafo_count,huc8_upstream_cafo_density,huc8_upstream_swine_cafo_density,huc8_upstream_poultry_cafo_densi,huc8_upstream_other_cafo_density,huc8_upstream_wastewater_count,huc8_upstream_landfill_count,huc8_upstream_other_npdes_count,huc8_upstream_wastewater_density,huc8_upstream_other_npdes_densit,huc8_upstream_landfill_density,huc8_nearest_upstream_cafo_dista,huc8_nearest_upstream_swine_cafo,huc8_nearest_upstream_poultry_ca,huc8_nearest_upstream_other_cafo,huc8_nearest_upstream_wastewater,huc8_nearest_upstream_other_npde,huc8_nearest_upstream_landfill_d,huc8_weighted_cafo_load,huc8_weighted_swine_cafo_load,huc8_weighted_poultry_cafo_load,huc8_weighted_other_cafo_load,huc8_weighted_wastewater_load,huc8_weighted_other_npdes_load,huc8_weighted_landfill_load,huc10_upstream_area_sqkm,huc10_upstream_cafo_count,huc10_upstream_swine_cafo_count,huc10_upstream_poultry_cafo_coun,huc10_upstream_other_cafo_count,huc10_upstream_cafo_density,huc10_upstream_swine_cafo_densit,huc10_upstream_poultry_cafo_dens,huc10_upstream_other_cafo_densit,huc10_upstream_wastewater_count,huc10_upstream_landfill_count,huc10_upstream_other_npdes_count,huc10_upstream_wastewater_densit,huc10_upstream_other_npdes_densi,huc10_upstream_landfill_density,huc10_nearest_upstream_cafo_dist,huc10_nearest_upstream_swine_caf,huc10_nearest_upstream_poultry_c,huc10_nearest_upstream_other_caf,huc10_nearest_upstream_wastewate,huc10_nearest_upstream_other_npd,huc10_nearest_upstream_landfill_,huc10_weighted_cafo_load,huc10_weighted_swine_cafo_load,huc10_weighted_poultry_cafo_load,huc10_weighted_other_cafo_load,huc10_weighted_wastewater_load,huc10_weighted_other_npdes_load,huc10_weighted_landfill_load,huc12_upstream_area_sqkm,huc12_upstream_cafo_count,huc12_upstream_swine_cafo_count,huc12_upstream_poultry_cafo_coun,huc12_upstream_other_cafo_count,huc12_upstream_cafo_density,huc12_upstream_swine_cafo_densit,huc12_upstream_poultry_cafo_dens,huc12_upstream_other_cafo_densit,huc12_upstream_wastewater_count,huc12_upstream_landfill_count,huc12_upstream_other_npdes_count,huc12_upstream_wastewater_densit,huc12_upstream_other_npdes_densi,huc12_upstream_landfill_density,huc12_nearest_upstream_cafo_dist,huc12_nearest_upstream_swine_caf,huc12_nearest_upstream_poultry_c,huc12_nearest_upstream_other_caf,huc12_nearest_upstream_wastewate,huc12_nearest_upstream_other_npd,huc12_nearest_upstream_landfill_,huc12_weighted_cafo_load,huc12_weighted_swine_cafo_load,huc12_weighted_poultry_cafo_load,huc12_weighted_other_cafo_load,huc12_weighted_wastewater_load,huc12_weighted_other_npdes_load,huc12_weighted_landfill_load,huc8_area_km2,huc8_pop_total,huc8_pop_density,huc8_pct_cropland,huc8_pct_crop_pasture,huc10_area_km2,huc10_pop_total,huc10_pop_density,huc10_pct_cropland,huc10_pct_crop_pasture,huc12_area_km2,huc12_pop_total,huc12_pop_density,huc12_pct_cropland,huc12_pct_crop_pasture,fecalcoliformcol100ml,fecalcoliform_rmk,fecpos,feclog,no2no3mgl,nitlog,phosphorusmgl,phoslog,exceed_fec,exceed_nit,exceed_phos,latitude,longitude,location,county,comment,streamclass,subbasin,active,date,datecollected,year,h8_pop_dens_sqm,h10_pop_dens_sqm,h12_pop_dens_sqm,urban8,urban10,urban12,semiurban8,semiurban10,semiurban12,count_all,count_sw,count_pt,h8_count_all,h8_count_sw,h8_count_pt,h10_count_all,h10_count_sw,h10_count_pt,h12_count_all,h12_count_sw,h12_count_pt,dens_all,dens_sw,dens_pt,h8_dens_all,h8_dens_sw,h8_dens_pt,h10_dens_all,h10_dens_sw,h10_dens_pt,h12_dens_all,h12_dens_sw,h12_dens_pt,dist_all,dist_sw,dist_pt,h8_dist_all,h8_dist_sw,h8_dist_pt,h10_dist_all,h10_dist_sw,h10_dist_pt,h12_dist_all,h12_dist_sw,h12_dist_pt,wcount_all,wcount_sw,wcount_pt,h8_wcount_all,h8_wcount_sw,h8_wcount_pt,h10_wcount_all,h10_wcount_sw,h10_wcount_pt,h12_wcount_all,h12_wcount_sw,h12_wcount_pt
"B0050000","UCFR",3030002,303000202,30300020204,206.4241,2,0,0,2,.0096888,0,0,.0096888,1,2,0,.0048444,0,.0096888,.0002351,0,0,.0002351,.0000216,0,.0000714,6665.438,,,6665.438,46231.32,,27132.58,206.4241,2,0,0,2,.0096888,0,0,.0096888,1,2,0,.0048444,0,.0096888,6665.438,,,6665.438,46231.32,,27132.58,.0002351,0,0,.0002351,.0000216,0,.0000714,206.4241,2,0,0,2,.0096888,0,0,.0096888,1,2,0,.0048444,0,.0096888,6665.438,,,6665.438,46231.32,,27132.58,.0002351,0,0,.0002351,.0000216,0,.0000714,76.2924,2,0,0,2,.0262149,0,0,.0262149,0,0,0,0,0,0,6665.438,,,6665.438,,,,.0002351,0,0,.0002351,0,0,0,6773.563,941359.6,138.9755,2.091206,19.99249,752.9619,39890.95,52.97871,6.15044,31.25691,130.7788,5030.053,38.46231,9.370461,34.30074,152,"NA",1,2.181844,.15,-.8239087,.05,-1.30103,0,0,0,36.2652,-79.6523,"Haw Riv at US 29 Bus nr Benaja","Rockingham","ups Reidsville WWTP","C NSW","CPF01","yes","8/5/20",05aug2020,20,359.9467,137.2149,99.61738,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,0,0,3,0,0,3,0,0,3,0,0,1,1,1,1,1,1,2,1,1,3,1,1
"B0070010","UCFR",3030002,303000202,30300020203,141.7031,4,0,3,1,.028228,0,.021171,.007057,0,0,0,0,0,0,.0002263,0,.0001754,.0000509,0,0,0,13882.36,,13882.36,19630.81,,,,141.7031,4,0,3,1,.028228,0,.021171,.007057,0,0,0,0,0,0,13882.36,,13882.36,19630.81,,,,.0002263,0,.0001754,.0000509,0,0,0,141.7031,4,0,3,1,.028228,0,.021171,.007057,0,0,0,0,0,0,13882.36,,13882.36,19630.81,,,,.0002263,0,.0001754,.0000509,0,0,0,52.5508,2,0,2,0,.0380584,0,.0380584,0,0,0,0,0,0,0,13882.36,,13882.36,,,,,.0001441,0,.0001441,0,0,0,0,6773.563,941359.6,138.9755,2.091206,19.99249,752.9619,39890.95,52.97871,6.15044,31.25691,85.70181,3113.33,36.32747,3.019792,25.95432,210,"NA",1,2.322219,.05,-1.30103,.036,-1.443697,1,0,0,36.2768,-79.6499,"Troublesome Crk at US 29 Bus nr Reidsville","Rockingham","major tributary; nps inputs","C NSW","CPF01","yes","7/17/17",17jul2017,17,359.9467,137.2149,94.08816,0,0,0,0,0,0,2,1,2,2,1,2,2,1,2,3,1,4,2,1,2,2,1,2,2,1,2,3,1,3,1,0,2,1,0,2,1,0,2,1,0,1,1,1,1,1,1,1,1,1,2,3,1,4
"B0170000","UCFR",3030002,303000202,30300020206,435.9061,12,1,6,5,.0275289,.0022941,.0137644,.0114704,2,2,1,.0045881,.0022941,.0045881,.0008456,.0001548,.0003577,.0003331,.0000893,.0000549,.0000534,6458.68,6458.68,12109.54,10510.72,14061.13,18204.18,36559.78,435.9061,12,1,6,5,.0275289,.0022941,.0137644,.0114704,2,2,1,.0045881,.0022941,.0045881,6458.68,6458.68,12109.54,10510.72,14061.13,18204.18,36559.78,.0008456,.0001548,.0003577,.0003331,.0000893,.0000549,.0000534,435.9061,12,1,6,5,.0275289,.0022941,.0137644,.0114704,2,2,1,.0045881,.0022941,.0045881,6458.68,6458.68,12109.54,10510.72,14061.13,18204.18,36559.78,.0008456,.0001548,.0003577,.0003331,.0000893,.0000549,.0000534,42.594,1,1,0,0,.0234775,.0234775,0,0,0,0,0,0,0,0,6458.68,6458.68,,,,,,.0001548,.0001548,0,0,0,0,0,6773.563,941359.6,138.9755,2.091206,19.99249,752.9619,39890.95,52.97871,6.15044,31.25691,65.63162,2012.526,30.66396,14.20331,41.48372,0,"NA",0,-.30103,0,-2.30103,0,-2.30103,0,0,0,36.2514,-79.5647,"Haw Riv at SR 2620 High Rock Rd nr Williamsburg","Rockingham","below Reidsville WWTP","C NSW","CPF01","yes","5/4/21",04may2021,21,359.9467,137.2149,79.41966,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,4,1,1,2,2,1,2,2,2,3,2,3,4,1,3,4,2,3,4,2,3,4,2,3,3,0,2,2,2,2,2,2,3,3,3,3,4,1
"B0400000","UCFR",3030002,303000201,30300020107,338.6729,2,0,2,0,.0059054,0,.0059054,0,0,0,5,0,.0147635,0,.0000565,0,.0000565,0,0,.0001835,0,34857.05,,34857.05,,,12818.58,,338.6729,2,0,2,0,.0059054,0,.0059054,0,0,0,5,0,.0147635,0,34857.05,,34857.05,,,12818.58,,.0000565,0,.0000565,0,0,.0001835,0,338.6729,2,0,2,0,.0059054,0,.0059054,0,0,0,5,0,.0147635,0,34857.05,,34857.05,,,12818.58,,.0000565,0,.0000565,0,0,.0001835,0,68.5397,0,0,0,0,0,0,0,0,0,0,1,0,.0145901,0,,,,,,12818.58,,0,0,0,0,0,.000078,0,6773.563,941359.6,138.9755,2.091206,19.99249,1015.546,305331.5,300.6575,2.03556,14.35375,109.1926,8155.136,74.68582,3.654068,25.08907,86,"B1",1,1.934498,.04,-1.39794,.039,-1.408935,0,0,0,36.1778,-79.6177,"Reedy Fork at SR 2719 High Rock Rd nr Monticello","Guilford","model verification","C NSW","CPF02","yes","3/14/22",14mar2022,22,359.9467,778.7028,193.4363,0,0,0,1,1,0,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1
"B0480050","UCFR",3030002,303000201,30300020105,55.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,55.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,55.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,55.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,6773.563,941359.6,138.9755,2.091206,19.99249,1015.546,305331.5,300.6575,2.03556,14.35375,173.6015,101731.3,586.005,.5730431,5.36432,2800,"NA",1,3.447158,.69,-.1611509,.043,-1.366531,1,0,0,36.1074,-79.7502,"N Buffalo Crk at N Buffalo Crk WWTP Influent Conduit Pier at Greensboro","Guilford","ups N. Buffalo WWTP","C NSW","CPF02","yes","1/4/16",04jan2016,16,359.9467,778.7028,1517.753,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"B0540050","UCFR",3030002,303000201,30300020105,110.518,0,0,0,0,0,0,0,0,0,3,1,0,.0090483,.0271449,0,0,0,0,0,.0000798,.0004289,,,,,,12538.35,6385.412,110.518,0,0,0,0,0,0,0,0,0,3,1,0,.0090483,.0271449,,,,,,12538.35,6385.412,0,0,0,0,0,.0000798,.0004289,110.518,0,0,0,0,0,0,0,0,0,3,1,0,.0090483,.0271449,,,,,,12538.35,6385.412,0,0,0,0,0,.0000798,.0004289,110.518,0,0,0,0,0,0,0,0,0,3,1,0,.0090483,.0271449,,,,,,12538.35,6385.412,0,0,0,0,0,.0000798,.0004289,6773.563,941359.6,138.9755,2.091206,19.99249,1015.546,305331.5,300.6575,2.03556,14.35375,173.6015,101731.3,586.005,.5730431,5.36432,143,"B1",1,2.155336,1.91,.2810334,.108,-.9665762,0,1,1,36.1299,-79.6626,"N Buffalo Crk at SR 2770 Huffine Mill Rd nr McLeansville","Guilford","dns N. Buffalo WWTP","C NSW","CPF02","yes","8/31/17",31aug2017,17,359.9467,778.7028,1517.753,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"B0670000","UCFR",3030002,303000201,30300020104,87.6959,0,0,0,0,0,0,0,0,0,0,2,0,.0228061,0,0,0,0,0,0,.0001206,0,,,,,,15912.04,,87.6959,0,0,0,0,0,0,0,0,0,0,2,0,.0228061,0,,,,,,15912.04,,0,0,0,0,0,.0001206,0,87.6959,0,0,0,0,0,0,0,0,0,0,2,0,.0228061,0,,,,,,15912.04,,0,0,0,0,0,.0001206,0,87.6959,0,0,0,0,0,0,0,0,0,0,2,0,.0228061,0,,,,,,15912.04,,0,0,0,0,0,.0001206,0,6773.563,941359.6,138.9755,2.091206,19.99249,1015.546,305331.5,300.6575,2.03556,14.35375,179.0155,96199.59,537.3815,.7908733,5.891467,172,"B1",1,2.235528,.26,-.5850267,.044,-1.356547,0,0,0,36.0598,-79.7256,"S Buffalo Crk at SR 3000 McConnell Rd nr Greensboro","Guilford","USGS gage; ups TZ Osborne WWTP","C NSW","CPF02","yes","8/13/21",13aug2021,21,359.9467,778.7028,1391.818,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"B1020000","UCFR",3030002,303000204,30300020404,1162.072,34,3,21,10,.0292581,.0025816,.0180712,.0086053,3,6,9,.0025816,.0077448,.0051632,.0024343,.0004015,.0011291,.0009038,.0000925,.0002209,.0002002,3115.073,3115.073,10841.85,3115.073,23360.83,27461.09,22610.67,1162.072,34,3,21,10,.0292581,.0025816,.0180712,.0086053,3,6,9,.0025816,.0077448,.0051632,3115.073,3115.073,10841.85,3115.073,23360.83,27461.09,22610.67,.0024343,.0004015,.0011291,.0009038,.0000925,.0002209,.0002002,17.1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,17.1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,6773.563,941359.6,138.9755,2.091206,19.99249,998.1725,81468.05,81.61721,2.342465,28.49768,138.7546,16747.46,120.6984,3.763543,30.50204,39,"NA",1,1.591065,.53,-.2757241,.061,-1.21467,0,0,0,36.1531,-79.4894,"Haw River at SR 1700 (Lower Hopedale Road) nr Hopedale","Alamance","above Burlington, below Reedy Fk","C NSW","CPF02","yes","3/8/21",08mar2021,21,359.9467,211.3886,312.6088,0,0,0,0,0,0,2,2,2,3,2,3,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,5,5,2,5,5,2,0,0,0,0,0,0,2,3,2,3,3,3,1,1,1,1,1,1
"B1200000","UCFR",3030002,303000204,30300020408,1566.551,52,3,39,10,.0331939,.001915,.0248954,.0063834,4,7,11,.0025534,.0070218,.0044684,.0017437,.0000928,.0013622,.0002888,.0002099,.0002457,.000209,5620.167,22806.35,5620.167,22806.35,6704.294,18417.67,13207.34,1566.551,52,3,39,10,.0331939,.001915,.0248954,.0063834,4,7,11,.0025534,.0070218,.0044684,5620.167,22806.35,5620.167,22806.35,6704.294,18417.67,13207.34,.0017437,.0000928,.0013622,.0002888,.0002099,.0002457,.000209,421.6758,18,0,18,0,.0426868,0,.0426868,0,1,1,2,.0023715,.004743,.0023715,5620.167,,5620.167,,6704.294,18417.67,13207.34,.0008273,0,.0008273,0,.0001492,.0000845,.0000757,60.4668,2,0,2,0,.033076,0,.033076,0,1,1,0,.016538,0,.016538,5620.167,,5620.167,,6704.294,,13207.34,.0003005,0,.0003005,0,.0001492,0,.0000757,6773.563,941359.6,138.9755,2.091206,19.99249,998.1725,81468.05,81.61721,2.342465,28.49768,118.9879,32368.8,272.0344,.2344965,10.30159,4600,"NA",1,3.662758,.54,-.2676062,.22,-.6575773,1,0,1,36.0481,-79.3667,"Haw Riv at NC 54 nr Graham","Alamance","Between Burlington East and Graham","C NSW","CPF02","yes","4/14/20",14apr2020,20,359.9467,211.3886,704.569,0,0,0,0,0,1,2,2,2,3,2,4,3,1,4,3,1,4,2,2,2,2,2,2,2,1,3,3,1,3,3,2,4,3,2,4,3,0,4,3,0,3,2,2,2,3,2,3,3,1,4,4,1,4
"B1350000","UCFR",3030002,303000204,30300020407,2.988,0,0,0,0,0,0,0,0,1,0,0,.334672,0,0,0,0,0,0,.0026913,0,0,,,,,371.5685,,,2.988,0,0,0,0,0,0,0,0,1,0,0,.334672,0,0,,,,,371.5685,,,0,0,0,0,.0026913,0,0,2.988,0,0,0,0,0,0,0,0,1,0,0,.334672,0,0,,,,,371.5685,,,0,0,0,0,.0026913,0,0,2.988,0,0,0,0,0,0,0,0,1,0,0,.334672,0,0,,,,,371.5685,,,0,0,0,0,.0026913,0,0,6773.563,941359.6,138.9755,2.091206,19.99249,998.1725,81468.05,81.61721,2.342465,28.49768,132.6806,18816.31,141.8166,1.168239,16.0055,0,"NA",0,-.30103,0,-2.30103,0,-2.30103,0,0,0,36.0885,-79.2844,"Moadams Crk at Corrigdor Rd ups of Discharge nr Mebane","Alamance","ups Mebane WWTP","C NSW","CPF02","yes","5/5/21",05may2021,21,359.9467,211.3886,367.3049,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
